artifact,check,result
F1_Manager_Sim_Global_Database_v1.2.15_1980_historical_source_enrichment_candidate.sqlite,PRAGMA integrity_check,ok
F1_Manager_Sim_Global_Database_v1.2.15_1980_historical_source_enrichment_candidate.sqlite,PRAGMA foreign_key_check,0
F1_Manager_Sim_SeasonDefinition_1980_v1.2.15_1980_historical_source_enrichment_candidate.sqlite,PRAGMA integrity_check,ok
F1_Manager_Sim_SeasonDefinition_1980_v1.2.15_1980_historical_source_enrichment_candidate.sqlite,PRAGMA foreign_key_check,0
